id,sha,author_date,status,score,report,updated_at
Red-00,d7eebdd...8e6,2020-02-01T21:11:26Z,new,,,2020-02-01 21:29:01.948 UTC
Red-00,767c387...422,2020-02-03T22:19:03Z,new,,,2020-02-03 22:20:03.515 UTC
Red-00,ea11ce4...4e4,2020-02-05T19:43:31Z,new,,,2020-02-05 19:44:01.726 UTC
Red-00,d7eebdd...8e6,,pending_2020-02-01T21:32:06Z,,,2020-02-01 21:32:07.784584 UTC
Red-00,767c387...422,,pending_2020-02-03T22:23:12Z,,,2020-02-03 22:23:13.514982 UTC
Red-00,ea11ce4...4e4,,pending_2020-02-05T19:45:11Z,,,2020-02-05 19:45:13.330026 UTC
Red-00,d7eebdd...8e6,,err:compilation_or_runtime_error,,,2020-02-01 21:32:52.111536 UTC
Red-00,767c387...422,,graded,"6358,17/20,14/14,7/10","passed: edu.usfca.dataflow.__TestHelper.__shareable__testIsValid
passed: edu.usfca.dataflow.__TestHelper.testReadFromFile
failed: edu.usfca.dataflow.__TestHelper.__hidden__testGetExchangeStats
failed: edu.usfca.dataflow.__TestHelper.__hidden__testGetMergedProfiles
failed: edu.usfca.dataflow.__TestHelper.__hidden__testGetPopularApps
failed: edu.usfca.dataflow.__TestHelper.testGetExchangeStats
failed: edu.usfca.dataflow.__TestHelper.testGetMergedProfiles
failed: edu.usfca.dataflow.__TestHelper.testGetPopularApps
passed: edu.usfca.dataflow.__TestMain.testGetUserEmail
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testKnownOs
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testUnknownOs
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testWithBothKnownAndUnknown
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test01
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test02
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test03
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test04
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test05
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter01
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter02
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter03
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter04
passed: edu.usfca.dataflow.transforms.__TestParsers.__hidden__placeholder
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test01
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test02
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test03
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser01
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser02
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser03
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden__testMultipleDPs1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden__testMultipleDPs2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden_testMergeApps
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test01
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test02
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test03
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__testMergeApps
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__testMergeDeviceProfiles2_fixed
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps3
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps4
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles3
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles4",2020-02-03 22:24:33.384134 UTC
Red-00,ea11ce4...4e4,,graded,"10000,20/20,14/14,10/10","passed: edu.usfca.dataflow.__TestHelper.__hidden__testGetExchangeStats
passed: edu.usfca.dataflow.__TestHelper.__hidden__testGetMergedProfiles
passed: edu.usfca.dataflow.__TestHelper.__hidden__testGetPopularApps
passed: edu.usfca.dataflow.__TestHelper.__shareable__testIsValid
passed: edu.usfca.dataflow.__TestHelper.testGetExchangeStats
passed: edu.usfca.dataflow.__TestHelper.testGetMergedProfiles
passed: edu.usfca.dataflow.__TestHelper.testGetPopularApps
passed: edu.usfca.dataflow.__TestHelper.testReadFromFile
passed: edu.usfca.dataflow.__TestMain.testGetUserEmail
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testKnownOs
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testUnknownOs
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testWithBothKnownAndUnknown
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test01
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test02
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test03
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test04
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test05
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter01
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter02
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter03
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter04
passed: edu.usfca.dataflow.transforms.__TestParsers.__hidden__placeholder
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test01
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test02
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test03
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser01
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser02
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser03
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden__testMultipleDPs1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden__testMultipleDPs2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden_testMergeApps
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test01
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test02
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test03
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__testMergeApps
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__testMergeDeviceProfiles2_fixed
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps3
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps4
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles3
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles4",2020-02-05 19:46:41.939891 UTC
Red-01,8d97336...edd,,graded,"9171,20/20,13/14,9/10","passed: edu.usfca.dataflow.__TestHelper.__hidden__testGetExchangeStats
passed: edu.usfca.dataflow.__TestHelper.__hidden__testGetMergedProfiles
passed: edu.usfca.dataflow.__TestHelper.__hidden__testGetPopularApps
passed: edu.usfca.dataflow.__TestHelper.__shareable__testIsValid
passed: edu.usfca.dataflow.__TestHelper.testGetExchangeStats
passed: edu.usfca.dataflow.__TestHelper.testGetMergedProfiles
passed: edu.usfca.dataflow.__TestHelper.testGetPopularApps
passed: edu.usfca.dataflow.__TestHelper.testReadFromFile
passed: edu.usfca.dataflow.__TestMain.testGetUserEmail
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testKnownOs
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testUnknownOs
passed: edu.usfca.dataflow.transforms.__TestConverters.__hidden__testWithBothKnownAndUnknown
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test01
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test02
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test03
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test04
passed: edu.usfca.dataflow.transforms.__TestConverters.__shareable__test05
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter01
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter02
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter03
passed: edu.usfca.dataflow.transforms.__TestConverters.testConverter04
passed: edu.usfca.dataflow.transforms.__TestParsers.__hidden__placeholder
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test01
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test02
passed: edu.usfca.dataflow.transforms.__TestParsers.__shareable__test03
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser01
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser02
passed: edu.usfca.dataflow.transforms.__TestParsers.testParser03
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden__testMultipleDPs1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden__testMultipleDPs2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test01
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test02
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__test03
passed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__testMergeDeviceProfiles2_fixed
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps3
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeApps4
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles1
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles2
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles3
passed: edu.usfca.dataflow.utils.__TestProfileUtils.testMergeDeviceProfiles4
failed: edu.usfca.dataflow.utils.__TestProfileUtils.__hidden_testMergeApps
failed: edu.usfca.dataflow.utils.__TestProfileUtils.__shareable__testMergeApps",2020-02-08 07:10:16.701744 UTC
