id,sha,author_date,status,score,updated_at
Yellow-00,da849cc...049,,err,"0000,0/1,0/0,0/0",2020-01-27 06:44:51.433821 UTC
Blue-02,91f5d42...6a9,2020-01-25T04:34:25Z,new,,2020-01-25 08:48:46.382374 UTC
Blue-02,91f5d42...6a9,2020-01-25T04:34:25Z,new,,2020-01-25 08:51:35.453448 UTC
Blue-02,91f5d42...6a9,2020-01-25T04:34:25Z,new,,2020-01-25 04:34:25 UTC
Blue-02,91f5d42...6a9,2020-01-25T04:34:25Z,new,,2020-01-25 08:52:15.662553 UTC
Blue-02,a0cfc94...ac9,2020-01-26T17:49:19Z,new,,2020-01-26 17:50:01.636 UTC
Blue-02,b78d613...b2c,2020-01-26T18:44:49Z,new,,2020-01-26 18:45:01.384 UTC
Blue-02,6e18767...f99,2020-01-26T19:08:57Z,new,,2020-01-26 19:10:01.635 UTC
Blue-02,21acbfb...2fe,2020-01-26T19:09:15Z,new,,2020-01-26 19:10:01.635 UTC
Blue-02,147d440...ca0,2020-01-26T19:19:17Z,new,,2020-01-26 19:20:01.764 UTC
Blue-02,d61b49b...01e,2020-01-26T19:58:27Z,new,,2020-01-26 20:00:01.580 UTC
Blue-02,a07b461...7e5,2020-01-27T16:30:41Z,new,,2020-01-27 16:35:01.396 UTC
Blue-08,d1e5a13...564,2020-01-23T06:05:49Z,new,,2020-01-25 08:51:35.453448 UTC
Blue-08,d1e5a13...564,2020-01-23T06:05:49Z,new,,2020-01-23 06:05:49 UTC
Blue-08,d1e5a13...564,2020-01-23T06:05:49Z,new,,2020-01-25 08:52:15.662553 UTC
Blue-08,d1e5a13...564,2020-01-23T06:05:49Z,new,,2020-01-25 08:48:46.382374 UTC
Blue-08,cf22622...a7b,2020-01-23T13:38:51Z,new,,2020-01-25 08:48:46.382374 UTC
Blue-08,cf22622...a7b,2020-01-23T13:38:51Z,new,,2020-01-25 08:51:35.453448 UTC
Blue-08,cf22622...a7b,2020-01-23T13:38:51Z,new,,2020-01-23 13:38:51 UTC
Blue-08,cf22622...a7b,2020-01-23T13:38:51Z,new,,2020-01-25 08:52:15.662553 UTC
Blue-08,3f16a04...3e4,2020-01-23T13:52:25Z,new,,2020-01-25 08:48:46.382374 UTC
Blue-08,3f16a04...3e4,2020-01-23T13:52:25Z,new,,2020-01-25 08:52:15.662553 UTC
Blue-08,3f16a04...3e4,2020-01-23T13:52:25Z,new,,2020-01-25 08:51:35.453448 UTC
Blue-08,3f16a04...3e4,2020-01-23T13:52:25Z,new,,2020-01-23 13:52:25 UTC
Blue-08,2fedb8e...f92,2020-01-23T13:59:52Z,new,,2020-01-25 08:48:46.382374 UTC
Blue-08,2fedb8e...f92,2020-01-23T13:59:52Z,new,,2020-01-25 08:52:15.662553 UTC
Blue-08,2fedb8e...f92,2020-01-23T13:59:52Z,new,,2020-01-25 08:51:35.453448 UTC
Blue-08,2fedb8e...f92,2020-01-23T13:59:52Z,new,,2020-01-23 13:59:52 UTC
Yellow-08,221ac1c...611,2020-01-26T22:40:30Z,new,,2020-01-26 22:45:01.373 UTC
Yellow-08,afb6b5b...206,2020-01-26T22:54:39Z,new,,2020-01-26 22:55:01.340 UTC
Yellow-08,02cd9f1...f48,2020-01-26T23:03:21Z,new,,2020-01-26 23:05:01.401 UTC
Yellow-08,d99aa35...55b,2020-01-26T23:26:58Z,new,,2020-01-26 23:30:01.969 UTC
Yellow-08,f638619...3e9,2020-01-26T23:36:27Z,new,,2020-01-26 23:40:01.458 UTC
Yellow-08,42fb7b2...c1d,2020-01-30T06:24:40Z,new,,2020-01-30 06:29:01.747 UTC
Yellow-10,2180151...873,2020-01-30T05:46:07Z,new,,2020-01-30 05:49:01.390 UTC
Yellow-10,276f4f0...d45,2020-01-30T05:55:20Z,new,,2020-01-30 05:59:01.674 UTC
Yellow-10,d57fb1a...8c8,2020-01-30T06:27:55Z,new,,2020-01-30 06:29:01.747 UTC
Yellow-10,74d564d...5d6,2020-01-30T06:40:32Z,new,,2020-01-30 06:44:01.410 UTC
